time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,day_0,day_1,day_2,day_3,day_4,day_5,day_6
2014-02-26,6.25,-0.25,0.75,,,3.0,6.0,,,,,,,,,,,,,0,0,1,0,0,0,0
2014-03-20,,,,0.08154761904761904,6827.832000732421,3.0,,746.9369999999997,6504.687000000003,1052.568,,,,34.035000000000004,2423.193000000001,,135.519,63.222,,0,0,0,1,0,0,0
2014-03-21,6.2,0.2,0.2,0.13405010398938855,53936.72100019451,18.0,,9417.654000000011,18842.669999999995,3022.3679999999995,148.63199999999995,,516.618,719.2529999999997,13525.500000000005,2746.334999999999,,1796.2620000000006,,0,0,0,0,1,0,0
2014-03-22,6.4,0.6,0.5,0.2368802192399581,18426.482998609543,9.0,3.0,2194.286999999996,14888.754000000004,279.972,63.228,,,294.4289999999998,1318.8960000000004,111.915,,352.86300000000006,,0,0,0,0,0,1,0
2014-03-23,6.8,0.2,0.8,0.14274111580506366,20321.49600434304,,,3858.738000000003,15711.956999999995,283.038,130.209,,,218.469,2702.5170000000007,,,90.258,91.158,0,0,0,0,0,0,1
2014-03-24,6.0,0.8,,0.07896105611559799,45142.05300164222,30.0,,2600.868000000001,27811.886999999995,2930.9130000000005,102.31800000000004,,9.03,199.67400000000004,9670.877999999997,1259.4149999999995,,536.1959999999998,,1,0,0,0,0,0,0
2014-03-25,6.75,0.5,0.5,0.09837411239050678,64426.06499719617,,3.0,3098.3039999999987,30830.253000000004,204.618,129.162,,,536.4570000000001,5758.413000000001,,705.6690000000001,668.6790000000002,,0,1,0,0,0,0,0
2014-03-26,6.6,-0.2,0.6,0.10130832167007592,49271.40300107002,,,3502.491000000003,26966.25899999997,2731.437,156.993,,,292.4939999999998,13776.177000000005,,,100.095,,0,0,1,0,0,0,0
2014-03-27,7.0,0.2,0.8,0.15951064096909742,52326.44999814034,6.0,3.0,3687.9809999999998,20809.53599999999,1918.017,126.657,,547.3530000000002,175.59599999999998,2806.1429999999987,141.942,,537.087,,0,0,0,1,0,0,0
2014-03-28,6.4,-0.6,0.6,0.0956980216371201,14770.466998815536,15.0,,30187.785000000054,2600.498999999999,3016.209000000001,267.498,699.1079999999997,,677.8530000000002,1538.2229999999995,3399.0270000000023,,905.151,,0,0,0,0,1,0,0
2014-03-29,8.0,0.2,1.0,0.06820281010186963,24967.8659992218,12.0,3.0,5857.89,8162.075999999994,4882.287,,,,508.7819999999999,1418.6639999999993,157.30500000000004,,1801.911,,0,0,0,0,0,1,0
2014-03-30,7.5,-0.5,0.75,0.04909297052154199,13569.642002820976,,,1243.0950000000016,3895.515,4607.030999999999,,,,222.009,503.05500000000006,,199.43100000000004,114.888,,0,0,0,0,0,0,1
2014-03-31,7.4,,0.6,0.07050548088338958,35510.50200104712,18.0,,8884.214999999987,15997.910999999984,5276.760000000001,123.765,153.52800000000005,,805.6619999999997,4051.965,550.1429999999998,87.87,630.9149999999997,,1,0,0,0,0,0,0
2014-04-01,6.0,0.2,,0.118443242712736,51521.718006134026,3.0,,4156.550999999999,18286.57800000001,3091.9110000000023,1643.4780000000005,704.2230000000002,277.164,363.5699999999998,15120.200999999995,4843.863000000003,,1552.9079999999994,,0,1,0,0,0,0,0
2014-04-02,6.5,0.3333333333333333,0.6666666666666666,0.10191661063822348,64075.532999753974,12.0,,10843.047000000019,20760.467999999968,4030.128000000001,743.3309999999999,,271.44300000000004,1624.6229999999994,10286.376000000002,,,1024.1129999999996,,0,0,1,0,0,0,0
2014-04-03,6.4,-1.2,,0.04923847270844109,64205.50500226022,12.0,,6964.392000000003,43314.24600000007,3880.892999999998,228.702,,,641.7059999999999,9462.723,57.246,,548.316,,0,0,0,1,0,0,0
2014-04-04,6.2,0.2,0.4,0.12668931120732582,37138.23300004007,6.0,3.0,5873.487000000003,16444.884000000013,4635.680999999999,,,,530.403,6258.591000000006,474.72300000000007,,386.076,,0,0,0,0,1,0,0
2014-04-05,6.8,-0.4,0.6,0.11900230220344556,10021.292999982836,,,45477.56999999996,5656.227000000006,229.107,,,,243.399,1089.624,563.8349999999998,,356.86799999999994,,0,0,0,0,0,1,0
2014-04-06,6.5,-0.75,0.5,0.06440779944246812,22401.96599936484,12.0,,13645.985999999995,10067.228999999988,561.6419999999998,,343.218,,357.36,964.38,,,138.747,,0,0,0,0,0,0,1
2014-04-07,6.5,-0.6666666666666666,0.25,0.050670621174317886,29539.14299941062,3.0,,2782.131000000003,22065.04500000002,1341.3629999999996,138.384,,51.32100000000001,511.044,4426.254000000004,180.74099999999999,,617.4330000000001,,1,0,0,0,0,0,0
2014-04-08,6.6,-0.4,0.3333333333333333,0.07532705826134849,45303.396005630486,3.0,,2678.067000000006,28432.658999999967,10399.436999999998,57.393,,,628.5420000000001,7965.363000000001,,,108.429,,0,1,0,0,0,0,0
2014-04-09,7.4,-0.8,1.0,0.1203841145323288,40674.86700296402,12.0,,4915.8510000000015,18531.228,2822.31,,,,1039.962,8479.049999999996,,,1732.0770000000002,,0,0,1,0,0,0,0
2014-04-10,7.4,-0.4,0.8,0.07896310519489105,27888.296997785576,21.0,,2146.0649999999987,14644.232999999986,5576.679000000005,,3.1770000000000005,69.58500000000001,323.75699999999983,3524.150999999999,,,1133.0610000000001,,0,0,0,1,0,0,0
2014-04-11,7.0,-1.2,0.8,0.07998620207306051,31580.538000583663,,,10107.093000000019,10009.776000000003,5928.4140000000025,282.2789999999999,,,154.35599999999997,1790.4209999999994,102.702,,643.9440000000002,,0,0,0,0,1,0,0
2014-04-12,7.25,-0.75,0.75,0.07224906147031819,35252.427002906785,,,907.3379999999997,19785.249,6559.445999999997,,,,237.099,793.2959999999997,15.093000000000002,,1057.1760000000004,,0,0,0,0,0,1,0
2014-04-13,8.0,-1.25,1.0,0.014021328954370728,6017.252997636796,,,1342.2450000000008,3290.385000000001,748.1759999999997,247.239,,,282.6269999999999,103.506,,,,,0,0,0,0,0,0,1
